         city_name         | state_name |                      airline_name                       | passengers 
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |       7547
 Denver, CO                | Colorado   | Virgin America                                          |       9926
 Denver, CO                | Colorado   | Delta Air Lines Inc.                                    |        155
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |        642
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |        115
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |        500
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |       4814
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |        424
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |       2780
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |        236
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |        888
 Durango, CO               | Colorado   | Federal Express Corporation                             |          0
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |       5282
 Denver, CO                | Colorado   | GoJet Airlines LLC d/b/a United Express                 |        642
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       4488
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |       9579
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       8320
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |       8258
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       3082
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |       1445
 Denver, CO                | Colorado   | CFM Inc d/b/a Contour Airlines                          |         14
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |       3760
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |       5107
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |      10120
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |        190
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       8081
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |        138
 Denver, CO                | Colorado   | GoJet Airlines LLC d/b/a United Express                 |        281
 Grand Junction, CO        | Colorado   | Allegiant Air                                           |        113
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       1358
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |       9408
 Denver, CO                | Colorado   | Republic Airlines                                       |        397
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       1180
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       6246
 Denver, CO                | Colorado   | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |         41
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |        143
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |       1975
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |        139
 Denver, CO                | Colorado   | Trans States Airlines                                   |         45
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |       7077
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       8385
 Colorado Springs, CO      | Colorado   | SkyWest Airlines Inc.                                   |       5911
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       1017
 Eagle, CO                 | Colorado   | American Airlines Inc.                                  |       2489
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |       4642
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |        549
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |       5468
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |       1185
 Denver, CO                | Colorado   | Trans States Airlines                                   |       3000
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       2357
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       1089
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |       1379
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |        330
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |       1538
 Durango, CO               | Colorado   | Trans States Airlines                                   |         47
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |      12461
 Grand Junction, CO        | Colorado   | SkyWest Airlines Inc.                                   |          0
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |      12212
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |        925
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       3779
 Denver, CO                | Colorado   | Trans States Airlines                                   |       2043
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |       3714
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |      11518
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |      19851
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |        272
 Denver, CO                | Colorado   | GoJet Airlines LLC d/b/a United Express                 |       1484
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |       3996
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |      10038
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |      13200
 Denver, CO                | Colorado   | Boutique Air                                            |        247
 Denver, CO                | Colorado   | Delta Air Lines Inc.                                    |       5771
 Denver, CO                | Colorado   | Delta Air Lines Inc.                                    |         50
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |        253
 Denver, CO                | Colorado   | Republic Airlines                                       |        193
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |       2247
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |         63
